Adams,IA,41033055,-94702444
Allamakee,IA,43279771,-91373077
Appanoose,IA,40741209,-92868827
Audubon,IA,41684710,-94905244
Benton,IA,42079571,-92066456
Black Hawk,IA,42472700,-92306913
Boone,IA,42036005,-93932980
Bremer,IA,42776080,-92307767
Buchanan,IA,42469076,-91839412
Buena,IA,42741556,-95160763
Butler,IA,42728461,-92794795
Calhoun,IA,42387708,-94637196
Carroll,IA,42035044,-94859098
Cass,IA,41329986,-94932888
Cedar,IA,41772603,-91131895
Cerro Gordo,IA,43083076,-93260936
Cherokee,IA,42735462,-95623017
Chickasaw,IA,43059704,-92317007
Clarke,IA,41029073,-93783863
Clay,IA,43084999,-95154581
Clayton,IA,42853626,-91340623
Clinton,IA,41897142,-90534271
Crawford,IA,42039142,-95383703
Dallas,IA,41688064,-94037986
Davis,IA,40748059,-92410181
Decatur,IA,40737907,-93783594
Delaware,IA,42469648,-91366843
Des Moines,IA,40920863,-91174917
Dickinson,IA,43377193,-95151784
Dubuque,IA,42472788,-90885767
Emmet,IA,43378084,-94669178
Fayette,IA,42858180,-91845342
Floyd,IA,43058144,-92789780
Franklin,IA,42730529,-93260473
Fremont,IA,40743126,-95599944
Greene,IA,42038345,-94391450
Grundy,IA,42401201,-92790958
Guthrie,IA,41683568,-94501129
Hamilton,IA,42381060,-93709227
Hancock,IA,43086340,-93742557
Hardin,IA,42379717,-93241515
Harrison,IA,41687151,-95809926
Henry,IA,40988540,-91543838
Howard,IA,43352475,-92315493
Humboldt,IA,42782088,-94202591
Ida,IA,42381458,-95513075
Iowa,IA,41687503,-92065664
Jackson,IA,42164952,-90576042
Jasper,IA,41685998,-93052619
Jefferson,IA,41033282,-91948011
Johnson,IA,41665667,-91589563
Jones,IA,42120175,-91131197
Keokuk,IA,41336959,-92180601
Kossuth,IA,43204989,-94196696
Lee,IA,40644531,-91478060
Linn,IA,42079317,-91594893
Louisa,IA,41217415,-91261528
Lucas,IA,41027345,-93326667
Lyon,IA,43373076,-96209069
Madison,IA,41330604,-94014932
Mahaska,IA,41333869,-92644966
Marion,IA,41334627,-93101356
Marshall,IA,42033473,-93001746
Mills,IA,41033605,-95618292
Mitchell,IA,43358923,-92786385
Monona,IA,42050438,-95953364
Monroe,IA,41028619,-92869761
Montgomery,IA,41031473,-95156377
Muscatine,IA,41487343,-91113265
O'Brien,IA,43084046,-95625507
Osceola,IA,43377347,-95619348
Page,IA,40738139,-95149618
Palo Alto,IA,43090980,-94679762
Plymouth,IA,42736720,-96216082
Pocahontas,IA,42733449,-94678171
Polk,IA,41680800,-93568953
Pottawattamie,IA,41339650,-95545890
Poweshiek,IA,41694480,-92531890
Ringgold,IA,40735000,-94244289
Sac,IA,42386706,-95103827
Scott,IA,41641600,-90622189
Shelby,IA,41679068,-95308893
Sioux,IA,43082979,-96177420
Story,IA,42036923,-93466437
Tama,IA,42081370,-92532090
Taylor,IA,40733980,-94692003
Union,IA,41027669,-94242081
Van Buren,IA,40754570,-91953155
Wapello,IA,41029909,-92409287
Warren,IA,41333408,-93560432
Washington,IA,41337091,-91716737
Wayne,IA,40738437,-93326465
Webster,IA,42434148,-94178790
Winnebago,IA,43378350,-93725049
Winneshiek,IA,43290968,-91843213
Woodbury,IA,42388101,-96036639
Worth,IA,43376176,-93265570
Wright,IA,42732980,-93734605
Ada,ID,43448193,-116243102
Adams,ID,44895846,-116454682
Bannock,ID,42667571,-112221908
Bear Lake,ID,42290235,-111333251
Benewah,ID,47222154,-116655416
Bingham,ID,43216479,-112398441
Blaine,ID,43394276,-113978437
Boise,ID,44006324,-115739227
Bonner,ID,48294716,-116597520
Bonneville,ID,43379542,-111601604
Boundary,ID,48792729,-116448862
Butte,ID,43724766,-113173931
Camas,ID,43468963,-114811001
Canyon,ID,43625747,-116707038
Caribou,ID,42759073,-111550804
Cassia,ID,42271510,-113610880
Clark,ID,44284644,-112375614
Clearwater,ID,46668015,-115657640
Custer,ID,44231748,-114293962
Elmore,ID,43342700,-115465496
Franklin,ID,42182774,-111810342
Fremont,ID,44217247,-111484468
Gem,ID,44060884,-116405397
Gooding,ID,42965324,-114800036
Idaho,ID,45846914,-115459268
Jefferson,ID,43821504,-112305477
Jerome,ID,42691745,-114262930
Kootenai,ID,47677138,-116696797
Latah,ID,46816363,-116705859
Lemhi,ID,44955655,-113949376
Lewis,ID,46238639,-116429850
Lincoln,ID,42977990,-114129623
Madison,ID,43787668,-111656970
Minidoka,ID,42847762,-113642878
Nez Perce,ID,46331211,-116746277
Oneida,ID,42207961,-112521761
Owyhee,ID,42563373,-116168352
Payette,ID,44010169,-116757836
Power,ID,42687609,-112837967
Shoshone,ID,47347698,-115885095
Teton,ID,43754950,-111212551
Twin Falls,ID,42353320,-114661919
Valley,ID,44744187,-115559597
Washington,ID,44448991,-116779039
Adams,IL,39985905,-91194609
Alexander,IL,37194333,-89339803
Bond,IL,38880600,-89436160
Boone,IL,42325891,-88813039
Brown,IL,39954344,-90750479
Bureau,IL,41408751,-89529086
Calhoun,IL,39164786,-90667353
Carroll,IL,42060539,-89923610
Cass,IL,39976726,-90246834
Champaign,IL,40140363,-88196175
Christian,IL,39547309,-89278091
Clark,IL,39333391,-87792386
Clay,IL,38755051,-88488302
Clinton,IL,38607485,-89423973
Coles,IL,39512600,-88220589
Cook,IL,41898100,-87650174
Crawford,IL,39002698,-87759558
Cumberland,IL,39273760,-88239683
DeKalb,IL,41894152,-88769104
De Witt,IL,40169623,-88904690
Douglas,IL,39766113,-88222815
DuPage,IL,41851713,-88085930
Edgar,IL,39678973,-87747173
Edwards,IL,38416822,-88057655
Effingham,IL,39064480,-88588341
Fayette,IL,39001152,-89017804
Ford,IL,40594545,-88224515
Franklin,IL,37992100,-88923398
Fulton,IL,40479374,-90213361
Gallatin,IL,37758035,-88229386
Greene,IL,39352324,-90386150
Grundy,IL,41288933,-88427508
Hamilton,IL,38081349,-88540845
Hancock,IL,40402089,-91168870
Hardin,IL,37521574,-88265984
Henderson,IL,40810093,-90926393
Henry,IL,41354648,-90135858
Iroquois,IL,40742039,-87823619
Jackson,IL,37787522,-89381489
Jasper,IL,39005595,-88149320
Jefferson,IL,38300731,-88923508
Jersey,IL,39088432,-90358353
Jo Daviess,IL,42364490,-90210057
Johnson,IL,37459435,-88874185
Kane,IL,41935616,-88432380
Kankakee,IL,41137733,-87862732
Kendall,IL,41587792,-88430709
Knox,IL,40930768,-90213733
Lake,IL,42433350,-87776595
La Salle,IL,41340914,-88884873
Lawrence,IL,38719587,-87730705
Lee,IL,41739948,-89299772
Livingston,IL,40888096,-88556736
Logan,IL,40126675,-89362724
McDonough,IL,40455746,-90677581
McHenry,IL,42324250,-88451932
McLean,IL,40494724,-88845335
Macon,IL,39860000,-88961299
Macoupin,IL,39257447,-89921179
Madison,IL,38831897,-89908267
Marion,IL,38649152,-88919347
Marshall,IL,41031122,-89342303
Mason,IL,40237659,-89913534
Massac,IL,37219315,-88709606
Menard,IL,40033732,-89799737
Mercer,IL,41204106,-90741607
Monroe,IL,38276763,-90178196
Montgomery,IL,39228142,-89478134
Morgan,IL,39714546,-90198119
Moultrie,IL,39638345,-88616794
Ogle,IL,42042051,-89319793
Peoria,IL,40790224,-89759057
Perry,IL,38085107,-89368348
Piatt,IL,40007292,-88592941
Pike,IL,39620382,-90885595
Pope,IL,37411349,-88573214
Pulaski,IL,37227822,-89131179
Putnam,IL,41203306,-89282204
Randolph,IL,38049180,-89821295
Richland,IL,38713392,-88085192
Rock Island,IL,41468950,-90565507
St. Clair,IL,38470800,-89931431
Saline,IL,37753784,-88540789
Sangamon,IL,39758124,-89658017
Schuyler,IL,40157695,-90609148
Scott,IL,39647881,-90478283
Shelby,IL,39394699,-88809255
Stark,IL,41088502,-89794915
Stephenson,IL,42350102,-89665903
Tazewell,IL,40512644,-89513191
Union,IL,37468895,-89256074
Vermilion,IL,40182453,-87738421
Wabash,IL,38443933,-87840390
Warren,IL,40853296,-90614728
Washington,IL,38350858,-89417134
Wayne,IL,38431670,-88423477
White,IL,38087449,-88178300
Whiteside,IL,41750787,-89911315
Will,IL,41439238,-87982396
Williamson,IL,37730326,-88929541
Winnebago,IL,42331768,-89160603
Woodford,IL,40785978,-89212257
Adams,IN,40745468,-84935843
Allen,IN,41091279,-85064170
Bartholomew,IN,39205132,-85898204
Benton,IN,40605690,-87307734
Blackford,IN,40473434,-85322568
Boone,IN,40051093,-86468727
Brown,IN,39195672,-86228533
Carroll,IN,40583933,-86564568
Cass,IN,40760855,-86346564
Clark,IN,38477432,-85716444
Clay,IN,39395617,-87114852
Clinton,IN,40299618,-86475786
Crawford,IN,38285114,-86456196
Daviess,IN,38702369,-87075782
Dearborn,IN,39149973,-84977076
Decatur,IN,39304383,-85502051
De Kalb,IN,41395532,-84999715
Delaware,IN,40225637,-85398211
Dubois,IN,38364109,-86881299
Elkhart,IN,41596450,-85858939
Fayette,IN,39643844,-85176249
Floyd,IN,38319328,-85903094
Fountain,IN,40122725,-87244396
Franklin,IN,39422146,-85055745
